,theta,calulated_p,phat,Dicrepancy_percnt
55,3.091743119266055,0.18585805356863172,0.018425241,908.7143632570092
56,3.093411175979983,0.18562393159169843,0.01838136,909.8486853988223
57,3.0950792326939114,0.18539007374904215,0.018337576,910.984639367441
58,3.09674728940784,0.18515647981055428,0.018293876,912.1227331870738
59,3.0984153461217683,0.18492314954615918,0.01825029,913.2614137176158
60,3.1000834028356965,0.1846900827258151,0.018206783,914.4026343782883
61,3.1017514595496247,0.18445727911951482,0.018163415,915.5429606729907
62,3.103419516263553,0.18422473849728593,0.01812013,916.685493809673
63,3.105087572977481,0.1839924606291914,0.018076956,917.8287641980342
64,3.1067556296914094,0.1837604452853303,0.018033873,918.973807412886
65,3.1084236864053376,0.18352869223583768,0.017990893,920.1199837911478
66,3.110091743119266,0.18329720125088644,0.017948013,921.2673865535023
67,3.1117597998331945,0.1830659721006862,0.017905217,922.4169611305559
68,3.1134278565471227,0.18283500455548496,0.017862562,923.5653969047338
69,3.115095913261051,0.18260429838556924,0.017819963,924.7175840479134
70,3.116763969974979,0.18237385336126444,0.017777484,925.8698828318005
71,3.1184320266889074,0.18214366925293535,0.017734913,927.0344582832112
72,3.1201000834028356,0.1819137458309874,0.017692175,928.2158540322459
73,3.121768140116764,0.1816840828658659,0.017649548,929.3979287497406
74,3.123436196830692,0.18145468012805765,0.01760701,930.58197185541
75,3.1251042535446203,0.18122553738809077,0.017564595,931.7661182198194
76,3.126772310258549,0.18099665441653556,0.017522236,932.9540760897
77,3.128440366972477,0.18076803098400485,0.017480027,934.140460435229
78,3.1301084236864054,0.18053966686115452,0.017437877,935.3305363898696
79,3.1317764804003336,0.1803115618186839,0.01739585,936.5205437495298
80,3.133444537114262,0.1800837156273365,0.017353924,937.7117919692615
81,3.13511259382819,0.1798561280579002,0.017312106,938.9038208656046
82,3.1367806505421183,0.17962879888120797,0.017270353,940.0991924764337
83,3.1384487072560465,0.17940172786813824,0.01722874,941.2934131047399
84,3.140116763969975,0.17917491478961556,0.017187186,942.4913020127578
85,3.1417848206839034,0.17894835941661058,0.01714576,943.6886768896619
86,3.1434528773978316,0.17872206152014147,0.017104419,944.8882365453314
87,3.14512093411176,0.17849602087127314,0.017063184,946.0886075257067
88,3.146788990825688,0.17827023724111912,0.017022036,947.2909179235937
89,3.1484570475396163,0.1780447104008407,0.016980994,948.494011800397
90,3.1501251042535445,0.17781944012164852,0.016940042,949.6989096564256
91,3.1517931609674728,0.17759442617480203,0.016899189,950.9050249698201
92,3.153461217681401,0.17736966833161094,0.016858438,952.1121115561486
93,3.1551292743953296,0.1771451663634349,0.016817786,953.3203863772987
94,3.156797331109258,0.1769209200416847,0.016777221,954.5305378369259
95,3.158465387823186,0.17669692913782198,0.016736751,955.7420892476121
96,3.1601334445371143,0.17647319342335988,0.016696371,956.9553824825064
97,3.1618015012510425,0.17624971266986433,0.016656103,958.1689892831245
98,3.1634695579649708,0.17602648664895315,0.01661593,959.3839548777365
99,3.165137614678899,0.17580351513229775,0.016575836,960.6012203265246
100,3.166805671392827,0.1755807978916225,0.016535852,961.8188695859976
101,3.1684737281067554,0.1753583346987062,0.016495971,963.0373598595386
102,3.170141784820684,0.1751361253253818,0.01645617,964.2581186548394
103,3.1718098415346123,0.17491416954353745,0.016416462,965.4802969728169
104,3.1734778982485405,0.17469246712511632,0.016376857,966.7032762800093
105,3.1751459549624688,0.17447101784211727,0.016337339,967.9280120476651
106,3.176814011676397,0.1742498214665955,0.016297905,969.1547402996948
107,3.178482068390325,0.17402887777066312,0.01625859,970.3811252437623
108,3.1801501251042534,0.17380818652648888,0.016219366,971.6089819011138
109,3.1818181818181817,0.17358774750629946,0.016180199,972.8406453621593
110,3.18348623853211,0.17336756048237933,0.016141154,974.0716671004467
111,3.1851542952460385,0.1731476252270714,0.016102202,975.3040030322495
112,3.1868223519599668,0.17292794151277757,0.016063342,976.5377646976892
113,3.188490408673895,0.17270850911195912,0.01602456,977.7738169070965
114,3.190158465387823,0.17248932779713666,0.0159859,979.0091393772661
115,3.1918265221017514,0.17227039734089122,0.015947286,980.2489960562044
116,3.1934945788156797,0.17205171751586468,0.015908804,981.4874567456668
117,3.195162635529608,0.1718332880947595,0.015870396,982.7284182252555
118,3.196830692243536,0.17161510885034004,0.015831819,983.9885863613487
